review_text,rating
편하게 입을 수 있고 따뜻해서 좋아요 잘 입겠습니다,5
"논기모 잘 입어서 겨울 대비해 기모로 구입했습니다. 안감이 따뜻해 보이고, 핏은 논기모와 크게 다르지 않고 좋네요. 다음엔 다른 컬러도 구입할 생각입니다!!",5
슬랙스보다는 편한 트레이닝바지 같습니다. 두께도 두껍고 편하네요,5
슬랙스보다는 편한 트레이닝바지 같습니다. 두께도 두껍고 편하네요,5
가격대비 넘좋았습니다. 일상복으로도 넘넘 좋아서 다른 색상 찾고 있서요,5
"깔끔한 블랙 색상에 와이드한 일자 핏이 트렌디하고 편안합니다. 허리 밴딩 처리가 되어 있어 착용감이 매우 좋습니다. 겨울 기모 소재라 따뜻하고, 군더더기 없는 디자인이라 어떤 상의에도 잘 어울릴 실용적인 데일리 아이템입니다. 편안함과 스타일을 모두 잡은 바지입니다! 좀 길어서 바지기장 수선은 필수라는게 유일한 단점~ㅋ",4
"깔끔한 블랙 색상에 와이드한 일자 핏이 트렌디하고 편안합니다. 허리 밴딩 처리가 되어 있어 착용감이 매우 좋습니다. 겨울 기모 소재라 따뜻하고, 군더더기 없는 디자인이라 어떤 상의에도 잘 어울릴 실용적인 데일리 아이템입니다. 편안함과 스타일을 모두 잡은 바지입니다!^^",4
허리가 벤딩으로 되어있어 편하고 핏은 세미와이드핏 이라 과하지 안고 좋네요 무진장 세일이라 게 구입해서 가성비 좋네요,5
급하게 샀는데 가격대비 질이 좋은 거 같아서 만족해요,4
이사이즈보고 기모 샀는데 기모는 좀 크네요. 가격대비 좋아요,5
기모바지 처음 사봐서 얇을 줄 알았는데 생각보다 두꺼워서 더 따뜻할거 같아요 세미라 좀 더 널널하게 입고싶어서 xl했는데 사이즈는 xxl와 비슷해요 허리는 끈 묶고 길이는 잘라서 입을 예정 밑위가 짧아서 더 길게 느껴져요 뒷쪽 허벅지쪽에 웬 자국이 있어서 좀 아쉽 그냥 내 눈에는 안보인다고 생각하고 입으려고요 다음에는 기본 버전도 사봐야겠어요,4
조금 널널한데 사이즈 딱 좋다고 하네요. 재질도 맘에 들고 굿,5
가격대비 옷 상태가 상당히 좋습니다 너무 와이드한 핏이 아니어서 더 맘에 듭니다,5
사이즈도 딱 좋고 몸에 잘 맞습니다 핏도 괜찮습니다,5
다리가 짧아서 수선하긴했지만 편하게 잘 입구있습니다. 편하고 좋아요,5
"후기가 워낙 좋아서 구매해봄 밴딩이라 편하고 좋음 기장, 통 딱 좋음",5
전에 m사이즈 사서 입었는데 길이가 조금 짧아서 l사이즈로 새로 구매했어요. 저렴한 가격에 겨울에 편하고 따뜻하게 입을 수 있어서 재구매했습니다.,4
교환 및 배송이 좀 느렸지만 상품 퀄은 만족합니다,4
교환 및 배송이 좀 느렸지만 상품 퀄은 만족합니다,4
기모 소재가 탄탄하여 매우 따뜻합니다. 다만 기모 소재 원단의 잔먼지 및 실밥 잔여물이 많아 최초 구매시 세탁은 필수 기모 L은 논기모 L 보다 한치수 정도 큰 관계로 기존 치수 보다 한 치수 작게 구매 권장함 기모 L 180/72 아들이 입으니 딱 좋음,4
이쁘고 바지 신축성도 좋고 재질도 좋은거 같습니다.,5
기모라 따뜻하고 기장감도 좋고 편해서 재구매합니다,4
인생 슬랙스를 만났어요 신축성도 있고 막 입고 세탁해도 변형도 안 되고 좋아요 너무,5
기모라 따듯해서 겨울에 입기 좋아요. 감사합니다.,5
상세사이즈에 적힌거보다 마니 크네요 아들 사줬는데 커요,3
사이즈가 생각보다 크긴한데 그래도 마감이나 품질이 굉장히 탄탄해요,4
옷이 이쁘고 딱 맞아서 괜찮은거 같아요 꼭 추천드려요,5
기모 없는 버전 구매하고 만족해서 구매했어요 좋아요,5
